,Name,WaitTime
0,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
1,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
2,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
3,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
4,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
5,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
6,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
7,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
8,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
9,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
10,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
11,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
12,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
13,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
14,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
15,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,5
16,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
17,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
18,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
19,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
20,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
21,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
22,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
23,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
24,https://www.parkgeni.us/disney-world/magic-kingdom/its-a-small-world/wait-times/2018-12-18,10
